1,2021-8-1  20:30:00,30,28,1
2,2021-8-1  20:30:00,35,29,2
3,2021-8-1  20:30:00,14,16,3
4,2021-8-1  20:30:00,20,60,4
5,2021-8-1  20:30:00,2,38,5
6,2021-8-1  20:30:00,11,49,6
7,2021-8-1  20:30:00,12,38,7
8,2021-8-1  20:30:00,11,69,8
9,2021-8-1  20:30:00,16,4,9
10,2021-8-1  20:30:00,15,20,10
11,2021-8-1  20:30:00,19,6,11
12,2021-8-1  20:30:00,22,28,12
13,2021-8-1  20:30:00,23,17,13
14,2021-8-1  20:30:00,26,14,14
15,2021-8-1  20:30:00,19,11,15
16,2021-8-1  20:30:00,22,8,16
17,2021-8-1  20:30:00,19,31,17
18,2021-8-1  20:30:00,13,27,18
19,2021-8-1  20:30:00,15,15,19
,,,,
,,,,
