1,30,0,2022-01-10 6:30:00,2020-02-17 6:30:00,1,1,NULL,NULL
2,40,0,2022-01-10 6:30:00,2020-02-17 6:30:00,2,1,NULL,NULL
3,50,0,2022-01-10 6:30:00,2020-02-17 6:30:00,3,1,NULL,NULL
4,90,0,2022-01-10 6:30:00,2020-02-17 6:30:00,4,1,NULL,NULL
5,40,0,2022-01-10 6:30:00,2020-02-17 6:30:00,5,1,NULL,NULL
6,70,0,2022-01-10 6:30:00,2020-02-17 6:30:00,6,1,NULL,NULL
7,70,0,2022-01-10 6:30:00,2020-02-17 6:30:00,7,1,NULL,NULL
8,70,0,2022-01-10 6:30:00,2020-02-17 6:30:00,8,1,NULL,NULL
9,50,0,2022-01-10 6:30:00,2020-08-01 5:30:00,1,2,NULL,NULL
10,50,0,2022-01-10 6:30:00,2020-08-01 5:30:00,2,2,NULL,NULL
11,50,0,2022-01-10 6:30:00,2020-08-01 5:30:00,3,2,NULL,NULL
12,75,0,2022-01-10 6:30:00,2020-08-01 5:30:00,4,2,NULL,NULL
13,50,0,2022-09-10 6:30:00,2020-08-01 5:30:00,5,2,NULL,NULL
14,50,0,2022-09-10 6:30:00,2020-08-01 5:30:00,6,2,NULL,NULL
15,50,0,2022-09-10 6:30:00,2020-08-01 5:30:00,7,2,NULL,NULL
16,50,0,2022-09-10 6:30:00,2020-08-01 5:30:00,8,2,NULL,NULL
17,25,0,2022-09-10 6:30:00,2020-10-25 6:00:00,1,3,NULL,NULL
18,25,0,2022-09-10 6:30:00,2020-10-25 6:00:00,2,3,NULL,NULL
19,25,0,2022-09-10 6:30:00,2020-10-25 6:00:00,3,3,NULL,NULL
20,50,0,2022-09-10 6:30:00,2020-10-25 6:00:00,4,3,NULL,NULL
21,20,0,2022-09-10 6:30:00,2020-10-25 6:00:00,5,3,NULL,NULL
22,20,0,2022-09-10 6:30:00,2020-10-25 6:00:00,6,3,NULL,NULL
23,20,0,2022-09-10 6:30:00,2020-10-25 6:00:00,7,3,NULL,NULL
24,20,0,2022-09-10 6:30:00,2020-10-25 6:00:00,8,3,NULL,NULL
25,50,10,2023-10-01 6:30:00,2020-11-01 5:30:00,1,3,NULL,NULL
26,50,10,2023-10-01 6:30:00,2020-11-01 5:30:00,2,3,NULL,NULL
